7001,"NEVER, NEVER, NEVER","A TESTA/T. RENIS"
7002,"ABOUT YOU","C. RODRIGUES"
7003,"HONOLULU CITY LIGHTS","K. BEAMER"
7004,"HE ALOHA MELE","I. KINIMAKA"
7005,"FLYING","P. DOWNS"
7006,"WAHINE ILIKEA","REV.D.KAMAKAHI"
7007,"WAIMANALO BLUES","R. MANN & L. MARTIN"
7008,"HANALEI MOON","B. NELSON"
7009,"KUU HOME O KAHALULU","J. SANTOS"
7010,"KANAKA WAI WAI","J. ALMEIDA"
7011,"HAWAII ALOHA","PD"
7012,"BEHOLD LAIE","J. PITMAN"
7013,"CRYSTAL CHANDELIER","D. FOX"
7014,"FROM MY HEART","D. COUCH & L. KAAI"
7015,"NIGHT BIRD","M. FEARY"
7016,"I'LL REMEMBER YOU","K. LEE"
7017,"HAPPY ANNIVERSARY","G. STEWART/B. ELORIDGE"
7018,"PANIOLO COUNTRY","M. SCHUTTE"
7019,"WONDERFUL TONIGHT","E. CLAPTON"
7020,"MAKALAPUA","E. HOLT"
7021,"SAMOAN MEDLEY","R. EVANS/ J. LIVINGSTON"
7022,"SURROUND ME WITH LOVE","HOLYFIELD/WILSON"
7023,"HAWAIIAN LULLABY","P. MOON & H. VEGAS"
7024,"SWEET LADY OF WAIAHOLE","G. BROAD"
7025,"WAIKA","J. SPENCER"
7026,"BEAUTIFUL KAUAI","R. FARDIN"
7027,"PUA LILIA","J. KALIPANA"
7028,"BLUE DARLING","T. LINDSEY"
7029,"MAUI WALTZ","BOB NELSON"
7030,"LOVER'S PRAYER","DON HO"
7031,"BADY BLUE","AARON BARKER"
7032,"QUANDO QUANDO QUANDO","P. BOONE/A. TESTA"
7033,"HERE'S HAPPINESS","K. TAKAHASHI/S. LINDA"
7034,"SWEET MEMORY","LARY KIMURA"
7035,"PUA OLENA","JAMES"
7036,"A MAILE LEI FOR YOUR HAIR","NORMAN KAYE"
7037,"SWEET SOMEONE","SHAPIRO"
7038,"NOBODY'S CHILD","DELMORE"
7039,"DROP BABY DROP/WHO LOVES YOU","(PRETTY BABY)JUDY PARKER"
7040,"KIMI TO ITSUMADE MO","YUZO KAYAMA"
7041,"WAIKIKI","ANDY"
7042,"IKONA","TRADITIONAL"
7043,"GOD BLESS MY DADDY/MOM(I LOVE YOU)","LENA MACHADO"
7044,"MY FRIEND","LARY & SHIRLY CARINIO"
7045,"MOONLIGHT LADY","CARLOS ANDRADE/PATRICK COCKETT"
7046,"MASESE","SAKIUSA BULICOKOCOKO"
7047,"PILI MAU ME'OE","CHARLES MANU BOYD"
7048,"KAINOA","J.L. TAKA"
7049,"KAMAKANI KAILI ALOHA","J. KALAPANA"
7050,"IN A CHURCH IN AN OLD HAWAIIAN TOWN","JOHNNY NOBLE"
7051,"DAHIL SA IYO","MIKE VELARDE JR."
7052,"E KAMANA 'O LA OE(IT ONLY HURTS)","GORDON BROAD"
7053,"ONE IN A MILLION YOU","SAM DEES"
7054,"EI NEI","BEECHWOOD"
7055,"PUA HONE","NAUKILO/REV. DENNIS KAMAHAKI"
7056,"JUST HANG LOOSE","RON E TISH"
7057,"MY HAWAII","EDDIE BRIGATI JR."
7058,"CHERYL MOANA MARIE","JOBETE/JOHN ROWLES"
7059,"KOKE'E","NAUKILO/REV. DENIS D.K."
7060,"AKAKA FALLS","HELEN PARKER"
7061,"IT WOULDN'T BE THE SAME(WITHOUT YOU)","JIMMY WAKELY"
7062,"LEI ALOHA LEI MAKAMAE","CRITERION"
7063,"WAIALUA SKY","WAIALUA/BONNIE GEARHEART"
7064,"SANOE","LILIUOKALANI"
7065,"WAIPIO(BEYOND THE RAINBOW)","KALAPANA"
7066,"E MALIU MAI(HAWAIIAN LOVE CALL","IRMGARD ALULI"
7067,"A MILLION MOONS(OVER HAWAII)","CPP/ANDY IONA"
7068,"NIGHT LIFE","TREE/WILLIE NELSON"
7069,"HASEGAWA GENERAL STORE","PAUL WESTON"
7070,"BOY FROM LAUPAHOEHOE","MARY PUKUI"
7071,"THAT'S WHAT LITTLE TEARS ARE MADE OF","DON BOWMAN"
7072,"SNOWS OF MAUNAKEA","JAY LARIN"
7073,"MAUI GIRL","IGNACIO LIBERNIO"
7074,"HA'A HULA","LOYAL GARNER"
7075,"KU'U IPO IKA HE'E PUE ONE","CHARLES E. KING"
7076,"OLD PLANTATION","MARY JANE MONTANO"
7077,"GINZA KAN KAN MUSUME","TAKAO SAIKI"
7078,"FINALLY","K.K. KAMINAKA"
7079,"SWEET CITY WOMAN","RICHARD DODSON"
7080,"KAULA ILI","TRADITIONAL"
7081,"HULA LADY","GORDON BROAD"
7082,"LAHAINA","JIM MESSINA"
7083,"WELCOME TO MY WORLD","JOHN HATHCOCK"